0.001,100,0.10439167962663132,0.012028187993777683,0.0086781000097679653
0.005,100,0.43225726708025014,0.0457331997080207,0.029834113231821877
0.01,100,0.69512069348409811,0.068608554181140161,0.038780039563813186
0.05,100,1.089969183119605,0.1120068686565905,0.017997804355817972
0.1,100,1.0964316878594287,0.12436207434991413,0.0056576411654314642
0.5,100,1.0964608113924048,0.12861719390874368,0.0014025223111921539
1,100,1.096460811392405,0.12861723232337582,0.0014024838965557391
5,100,1.2633218028145954e+72,-1.8572347806572154e+87,-1.8572347806572163e+87
10,100,1.2202073207915424e+105,-1.3061206571859411e+120,-1.3061206571859411e+120
1,12,1.096460811392405,0.12551467917739575,0.0013686526536744415
